START_HOUR,MONTH_START,YEAR_OF_START,DAY_OF_WEEK_START,END_HOUR,MONTH_END,YEAR_OF_END,DAY_OF_WEEK_END,TRIP_START_HOUR,TRIP_MILES,TRIP_SPEED,PICKUP_CENSUS_TRACT,DROPOFF_CENSUS_TRACT,PICKUP_COMMUNITY_AREA,DROPOFF_COMMUNITY_AREA,TRIP_TOTAL
0.653745190074299,0.0,0.0,0.9198041522271171,0.6390074313037785,0.0,0.0,0.9132324192806578,0.653745190074299,-0.7529137345641272,-1.2609012187886313,-0.49656758347631125,-0.9292322402433473,-0.15420453934650222,-0.9331655755171891,-0.7008660082834132
0.8300523995817065,0.0,0.0,0.9198041522271171,0.9886331580346428,0.0,0.0,0.9132324192806578,0.8300523995817065,-0.4358832203617403,-1.2609012187886313,-0.49656758347631125,-0.4597435347383166,-0.15420453934650222,-0.06397492188553978,-0.050818447012702564
0.5949761202384964,0.0,0.0,0.9198041522271171,0.6390074313037785,0.0,0.0,0.9132324192806578,0.5949761202384964,-0.7713304449327307,-1.2609012187886313,-0.49656758347631125,-0.9274767752616838,-0.15420453934650222,-0.9331655755171891,-0.7120737248570461
0.7125142599101015,0.0,0.0,0.9198041522271171,0.7555493402140666,0.0,0.0,0.9132324192806578,0.7125142599101015,-0.7410744207557394,-1.2609012187886313,-1.127700377219571,-0.3463270158896054,-1.1020576521041159,0.15332274152237255,-0.5103348265316532
0.5949761202384964,0.0,0.0,0.9198041522271171,0.6390074313037785,0.0,0.0,0.9132324192806578,0.5949761202384964,-0.6595147034090673,-1.2609012187886313,-1.128491277074262,-0.3410518289664095,-1.1020576521041159,0.15332274152237255,-0.5103348265316532
0.7125142599101015,0.0,0.0,0.9198041522271171,0.7555493402140666,0.0,0.0,0.9132324192806578,0.7125142599101015,-0.6529373068488518,-1.2609012187886313,-1.1282294072227086,-0.3463270158896054,-1.1020576521041159,0.15332274152237255,-0.22162404759486853
1.0651286789249168,0.0,0.0,0.9198041522271171,0.9886331580346428,0.0,0.0,0.9132324192806578,1.0651286789249168,-0.8081638656699375,-1.2609012187886313,-1.128491277074262,-0.9292322402433473,-1.1020576521041159,-0.9331655755171891,-0.734489158004312
1.0063596090891143,0.0,0.0,0.9198041522271171,0.9303622035794987,0.0,0.0,0.9132324192806578,1.0063596090891143,-0.8436818070951012,-1.2609012187886313,0.8762652746659847,-0.3410518289664095,-0.15420453934650222,0.15332274152237255,-0.8241508905933755
0.7712833297459041,0.0,0.0,0.9198041522271171,0.7555493402140666,0.0,0.0,0.9132324192806578,0.7712833297459041,-0.8173722208542392,-1.2609012187886313,-1.128491277074262,-0.9274767752616838,-1.1020576521041159,-0.9331655755171891,-0.734489158004312
0.536207050402694,0.0,0.0,0.9198041522271171,0.5224655223934904,0.0,0.0,0.9132324192806578,0.536207050402694,-0.8173722208542392,-1.2609012187886313,0.8762652746659847,-0.9283559730822164,-0.15420453934650222,-0.9331655755171891,-0.7793200242988438
0.5949761202384964,0.0,0.0,0.9198041522271171,0.6390074313037785,0.0,0.0,0.9132324192806578,0.5949761202384964,-0.7450208586918686,-1.2609012187886313,0.8762652746659847,-0.9283559730822164,-0.15420453934650222,-0.9331655755171891,-0.5215425431052861
-0.6391743463133562,0.0,0.0,-1.0638468512694326,-0.6429535667093905,0.0,0.0,-1.0634288592005576,-0.6391743463133562,-0.7318660655714377,-1.2609012187886313,-1.1269068322148645,-0.9286402470441887,-1.1020576521041159,-0.9331655755171891,-0.7905277408724767
-1.1093269049997763,0.0,0.0,0.9198041522271171,-0.9925792934402549,0.0,0.0,0.9132324192806578,-1.1093269049997763,-0.5319132101408865,-1.2609012187886313,-1.127435862218002,-0.9298213027831042,-1.1020576521041159,-0.9331655755171891,-0.2413496287644626
-0.8154815558207638,0.0,0.0,0.9198041522271171,-0.8177664300748226,0.0,0.0,0.9132324192806578,-0.8154815558207638,-0.6871397689619723,-1.2609012187886313,-1.1279622470711241,1.2919115897028899,-1.1020576521041159,0.3706204049302849,-0.7569045911515779
0.5949761202384964,0.0,0.0,0.9198041522271171,0.5807364768486345,0.0,0.0,0.9132324192806578,0.5949761202384964,-0.8186877001662823,-1.250994262698201,0.8762652746659847,-0.3463270158896054,-0.15420453934650222,0.15332274152237255,-0.6672428585625144
-1.285634114507184,0.0,0.0,-1.0638468512694326,-1.225663111260831,0.0,0.0,-1.0634288592005576,-1.285634114507184,-0.7397589414436964,-1.250994262698201,0.8762652746659847,1.2919115897028899,-0.15420453934650222,0.3706204049302849,-0.6448274254152485
0.7712833297459041,0.0,0.0,0.9198041522271171,0.6972783857589225,0.0,0.0,0.9132324192806578,0.7712833297459041,-0.854205641591446,-1.250994262698201,-1.128491277074262,-0.9286461083629922,-1.1020576521041159,-0.9331655755171891,-0.6896582917097802
0.653745190074299,0.0,0.0,0.9198041522271171,0.6390074313037785,0.0,0.0,0.9132324192806578,0.653745190074299,-0.7910626346133772,-1.250994262698201,-1.127435862218002,1.2919115897028899,-1.1020576521041159,0.3706204049302849,-0.669484401877241
0.24236170122368145,0.0,0.0,0.9198041522271171,0.2893817045729143,0.0,0.0,0.9132324192806578,0.24236170122368145,-0.6858242896499293,-1.250994262698201,1.2489669118764846,1.7048414994130556,1.5835261673757892,2.7608947024173207,-0.49912710995802023
1.0063596090891143,0.0,0.0,0.9198041522271171,0.9886331580346428,0.0,0.0,0.9132324192806578,1.0063596090891143,-0.6989790827703602,-1.250994262698201,0.8762652746659847,-0.9292322402433473,-0.15420453934650222,-0.9331655755171891,-0.555165692826185
